,Country,ESTJ,ESTP,ESFJ,ESFP,ENTJ,ENTP,ENFJ,ENFP,ISTJ,ISTP,ISFJ,ISFP,INTJ,INTP,INFJ,INFP,I,E,N,S,F,T,P,J
30,Colombia,0.043000000000000003,0.0249,0.0844,0.0451999999999999,0.0402,0.06,0.0844,0.13789999999999988,0.0332999999999999,0.022600000000000002,0.043699999999999906,0.0354,0.0527,0.0861,0.0689999999999999,0.1372,0.47999999999999965,0.5199999999999998,0.6674999999999998,0.3324999999999997,0.6371999999999997,0.36279999999999984,0.5492999999999998,0.45069999999999966
31,Congo,0.0824,0.04819999999999999,0.1205,0.0601999999999999,0.0642999999999998,0.06219999999999999,0.0802999999999999,0.09239999999999979,0.0542,0.0322,0.0763,0.0381999999999999,0.0361999999999999,0.0340999999999999,0.0683,0.050199999999999904,0.3896999999999996,0.6104999999999994,0.48799999999999916,0.5121999999999999,0.5863999999999994,0.4137999999999996,0.4176999999999994,0.5824999999999996
32,Costa Rica,0.0373,0.0236,0.0716,0.0446999999999999,0.0368,0.0636,0.0795,0.15489999999999998,0.0378999999999999,0.0216,0.0501999999999999,0.0375,0.0534999999999999,0.0798,0.0692,0.1383,0.48799999999999966,0.5119999999999999,0.6755999999999998,0.32439999999999974,0.6458999999999997,0.3540999999999998,0.5639999999999998,0.4359999999999997
33,Croatia,0.0478,0.027299999999999998,0.055799999999999995,0.0339,0.0474,0.077,0.07129999999999989,0.128,0.034,0.0235,0.0411,0.032100000000000004,0.0605,0.0925,0.0794999999999999,0.1484,0.5115999999999999,0.4884999999999999,0.7045999999999998,0.2955,0.5900999999999998,0.41,0.5627000000000001,0.4373999999999998
34,Cuba,0.028900000000000002,0.0072,0.1047,0.057800000000000004,0.0252,0.09029999999999999,0.0685999999999999,0.1985999999999999,0.0434,0.028900000000000002,0.061399999999999996,0.0433,0.0216,0.0542,0.0434,0.12279999999999999,0.419,0.5812999999999998,0.6246999999999997,0.3756,0.7005999999999998,0.29969999999999997,0.6030999999999999,0.3971999999999999
35,Cyprus,0.0494,0.027299999999999998,0.0797,0.0414,0.0470999999999999,0.06549999999999989,0.08439999999999989,0.1295,0.0352999999999999,0.0208,0.051199999999999996,0.0383999999999999,0.0438,0.0717,0.0758,0.13839999999999988,0.47539999999999966,0.5242999999999997,0.6561999999999996,0.3434999999999998,0.6387999999999996,0.36089999999999967,0.5329999999999997,0.46669999999999967
36,Czech Republic,0.042,0.028499999999999998,0.0538,0.0379,0.0344,0.06989999999999999,0.0511,0.11829999999999999,0.0404,0.0293999999999999,0.049,0.039299999999999904,0.061,0.1004,0.08059999999999999,0.16399999999999998,0.5640999999999997,0.4359,0.6797,0.32029999999999975,0.5939999999999999,0.40599999999999986,0.5876999999999997,0.41229999999999994
37,Congo (Kinshasa),0.0824,0.04819999999999999,0.1205,0.0601999999999999,0.0642999999999998,0.06219999999999999,0.0802999999999999,0.09239999999999979,0.0542,0.0322,0.0763,0.0381999999999999,0.0361999999999999,0.0340999999999999,0.0683,0.050199999999999904,0.3896999999999996,0.6104999999999994,0.48799999999999916,0.5121999999999999,0.5863999999999994,0.4137999999999996,0.4176999999999994,0.5824999999999996
38,Denmark,0.0374,0.0256999999999999,0.0719,0.0482,0.0277,0.0571,0.067,0.1497,0.031,0.0245,0.057800000000000004,0.047,0.038799999999999904,0.07089999999999999,0.0834,0.1621,0.5155,0.4846999999999999,0.6566999999999998,0.34349999999999986,0.6870999999999999,0.31309999999999977,0.5851999999999999,0.4149999999999999
39,Djibouti,0.0491,0.050699999999999995,0.0916,0.042499999999999996,0.0491,0.0491,0.0524,0.1210999999999999,0.0508,0.036,0.057300000000000004,0.0622,0.0491,0.0654,0.0769,0.09659999999999999,0.49429999999999996,0.5055999999999999,0.5597,0.4402,0.6005999999999999,0.39929999999999993,0.5235999999999998,0.4763
40,Dominica,0.0431,0.0281,0.08610000000000001,0.0373,0.0249,0.044700000000000004,0.057999999999999996,0.09359999999999999,0.0389,0.0249,0.0786,0.0563,0.0562999999999999,0.0902,0.0918999999999999,0.1474,0.5844999999999999,0.41579999999999995,0.6069999999999999,0.3933000000000001,0.6491999999999998,0.35109999999999986,0.5225000000000001,0.47779999999999984
41,Dominican Republic,0.038400000000000004,0.025500000000000002,0.0854,0.054099999999999995,0.030799999999999897,0.0495,0.0834,0.1469,0.0317,0.0208,0.0634,0.0438,0.041499999999999995,0.0651999999999999,0.0789,0.1408999999999999,0.4861999999999998,0.5139999999999999,0.6370999999999998,0.36310000000000003,0.6968,0.3033999999999998,0.5466999999999997,0.4534999999999999
42,Ecuador,0.0398999999999999,0.028099999999999903,0.0740999999999999,0.057699999999999904,0.0323,0.06420000000000001,0.07039999999999999,0.14650000000000002,0.0339,0.0245999999999999,0.05,0.044,0.049999999999999906,0.0807999999999999,0.0647,0.1387,0.4866999999999997,0.5131999999999997,0.6475999999999998,0.3522999999999995,0.6460999999999998,0.3537999999999995,0.5845999999999996,0.41529999999999967
43,Egypt,0.0524,0.0348,0.07100000000000001,0.0523,0.0467,0.0586,0.07669999999999999,0.11760000000000001,0.040999999999999995,0.0335999999999999,0.0530999999999999,0.0518,0.0497,0.0719,0.0665,0.122,0.4895999999999998,0.5101,0.6097,0.3899999999999998,0.611,0.38869999999999993,0.5425999999999999,0.4570999999999999
44,El Salvador,0.0409,0.024199999999999902,0.0895,0.0524,0.0340999999999999,0.059,0.0677999999999999,0.1328999999999999,0.033699999999999994,0.0245,0.0487,0.0403,0.0553,0.0848,0.0658,0.1462,0.4993000000000001,0.5007999999999997,0.6458999999999998,0.3541999999999999,0.6435999999999998,0.35649999999999976,0.5642999999999998,0.43579999999999974
45,Estonia,0.0359999999999999,0.0258,0.049,0.0342,0.030699999999999998,0.0616,0.0597,0.1325,0.039299999999999904,0.0303,0.0566,0.0458,0.0458999999999999,0.0921,0.0839,0.1762,0.5700999999999998,0.42949999999999994,0.6825999999999999,0.3169999999999998,0.6379,0.3616999999999997,0.5985,0.40109999999999973
46,Ethiopia,0.061200000000000004,0.0263,0.1047999999999999,0.06670000000000001,0.0373999999999999,0.055,0.0684,0.0999999999999999,0.039299999999999904,0.0295,0.0622,0.06369999999999999,0.042599999999999805,0.06770000000000001,0.059899999999999995,0.11519999999999991,0.48009999999999964,0.5197999999999997,0.5461999999999996,0.45369999999999977,0.6408999999999997,0.35899999999999954,0.5240999999999998,0.47579999999999956
47,Faroe Islands,0.0372,0.0207,0.056400000000000006,0.0564,0.0127,0.0357,0.0553,0.1169,0.0297,0.0233999999999998,0.0627,0.08990000000000001,0.0314,0.0856,0.08879999999999999,0.1972999999999999,0.6087999999999996,0.39130000000000004,0.6236999999999999,0.37639999999999985,0.7236999999999999,0.2763999999999998,0.6258999999999998,0.3742
48,Fiji,0.039599999999999996,0.0222,0.1205,0.06509999999999999,0.024599999999999803,0.0409,0.08940000000000001,0.1464,0.0232,0.0218999999999999,0.06670000000000001,0.0627999999999999,0.027999999999999997,0.0370999999999999,0.077,0.1348,0.4514999999999998,0.5486999999999997,0.5781999999999998,0.4219999999999997,0.7626999999999999,0.23749999999999957,0.5311999999999997,0.4689999999999998
49,Finland,0.0338,0.0255,0.0554,0.0434,0.0235,0.052500000000000005,0.048799999999999996,0.1257999999999999,0.0416,0.0335,0.0594999999999999,0.054099999999999995,0.049100000000000005,0.091,0.0817,0.1808,0.5912999999999998,0.40869999999999995,0.6531999999999998,0.3467999999999999,0.6494999999999997,0.35050000000000003,0.6065999999999998,0.3933999999999999
50,France,0.045,0.034999999999999996,0.0675,0.050699999999999995,0.0321,0.0577,0.0611,0.12929999999999992,0.0403,0.037,0.0587,0.0535999999999999,0.0418,0.0767999999999999,0.067,0.1465,0.5216999999999998,0.4783999999999998,0.6122999999999998,0.38779999999999987,0.6343999999999997,0.3656999999999999,0.5865999999999997,0.4135
51,Georgia,0.0714999999999999,0.037599999999999995,0.053500000000000006,0.030999999999999903,0.0648999999999999,0.0848,0.057699999999999904,0.09069999999999989,0.053099999999999994,0.0271,0.0422999999999999,0.0275,0.07780000000000001,0.1066,0.0644,0.10939999999999989,0.5081999999999998,0.49169999999999947,0.6562999999999994,0.3435999999999997,0.47649999999999954,0.5233999999999998,0.5146999999999997,0.4851999999999996
52,Germany,0.04,0.0240999999999999,0.056799999999999906,0.0370999999999999,0.0335,0.0595,0.0612,0.1266,0.036199999999999996,0.026099999999999998,0.0495,0.0407,0.0533,0.0933999999999999,0.0851,0.1766,0.5608999999999998,0.4387999999999997,0.6891999999999999,0.31049999999999967,0.6335999999999997,0.3660999999999998,0.5840999999999997,0.4155999999999998
53,Ghana,0.0829,0.0318,0.1527,0.0591999999999999,0.0321999999999999,0.0361,0.062,0.0706,0.0543,0.0269,0.109,0.061700000000000005,0.0381999999999999,0.0398999999999999,0.0659999999999998,0.0768,0.4727999999999996,0.5274999999999997,0.4217999999999995,0.5784999999999999,0.6579999999999997,0.3422999999999997,0.4029999999999998,0.5972999999999995
54,Greece,0.0471,0.0245,0.0581,0.0313999999999999,0.0539,0.0743,0.07719999999999999,0.12739999999999999,0.036500000000000005,0.023,0.0469,0.033100000000000004,0.0597,0.0874,0.079,0.1404,0.506,0.4938999999999999,0.6993,0.3006,0.5934999999999999,0.4064000000000001,0.5414999999999999,0.4584
55,Grenada,0.054200000000000005,0.0234,0.0941,0.039099999999999996,0.035699999999999996,0.0487,0.0803,0.1139,0.0378,0.024,0.07409999999999989,0.0556,0.0541999999999999,0.0721,0.08510000000000001,0.10779999999999999,0.5106999999999998,0.4894,0.5977999999999999,0.4022999999999999,0.6499999999999999,0.3500999999999999,0.48460000000000003,0.5154999999999998
56,Guatemala,0.0476,0.0254,0.0814999999999999,0.0512999999999999,0.038900000000000004,0.0663999999999999,0.0753,0.14629999999999999,0.0335,0.020700000000000003,0.054099999999999995,0.036399999999999905,0.043899999999999995,0.0762,0.0688,0.13390000000000002,0.4674999999999999,0.5326999999999997,0.6496999999999999,0.3504999999999997,0.6475999999999997,0.3525999999999999,0.5565999999999997,0.4435999999999999
57,Guinea,0.0391999999999999,0.030100000000000002,0.1106,0.0755,0.0193,0.0300999999999999,0.08460000000000001,0.1190999999999999,0.0295,0.0192999999999999,0.0891,0.07039999999999991,0.0358,0.0415,0.0862,0.1197,0.4914999999999998,0.5084999999999997,0.5362999999999998,0.4636999999999998,0.7551999999999999,0.24479999999999974,0.5056999999999996,0.49429999999999985
58,Guyana,0.0359,0.0316,0.08249999999999989,0.0489,0.0261,0.044899999999999995,0.0691,0.1,0.052199999999999996,0.0312999999999999,0.0796,0.0571,0.044299999999999895,0.0757,0.0776,0.1431999999999999,0.5609999999999997,0.43899999999999995,0.5808999999999997,0.4190999999999998,0.6579999999999998,0.3419999999999998,0.5326999999999998,0.4672999999999998
59,Haiti,0.0506,0.0317999999999999,0.1048,0.061200000000000004,0.045299999999999896,0.0577,0.07239999999999999,0.1353,0.0429,0.0175999999999998,0.0801,0.0489,0.027,0.0341,0.0748,0.1154,0.4407999999999998,0.5590999999999998,0.5619999999999999,0.4378999999999997,0.6929000000000001,0.30699999999999955,0.5019999999999997,0.4978999999999999
60,Honduras,0.044,0.0309,0.0831,0.0528999999999999,0.0392,0.0638,0.0797,0.1307,0.0303999999999999,0.0209999999999999,0.051899999999999905,0.0417,0.0465,0.0736,0.0692999999999998,0.1417,0.4760999999999995,0.5242999999999999,0.6444999999999997,0.35589999999999955,0.6509999999999996,0.34939999999999977,0.5562999999999999,0.4440999999999996
61,Hungary,0.0446,0.0248999999999999,0.0541,0.0316,0.0422,0.06770000000000001,0.0643,0.1214999999999999,0.0404,0.0233,0.0489,0.0332,0.0647,0.0978,0.0838,0.15689999999999998,0.5489999999999999,0.45089999999999986,0.6988999999999999,0.30099999999999993,0.5942999999999998,0.40559999999999985,0.5568999999999998,0.4429999999999999
62,Iceland,0.0245,0.019200000000000002,0.0655,0.0437,0.025599999999999998,0.0555,0.0706,0.1698,0.0259,0.0202,0.0582,0.048600000000000004,0.0333999999999999,0.0697,0.0786999999999999,0.191,0.5256999999999998,0.47440000000000004,0.6942999999999997,0.3058,0.7261,0.2739999999999999,0.6176999999999999,0.3823999999999998
63,India,0.0484,0.0313,0.0952999999999999,0.068,0.033,0.054400000000000004,0.0761,0.1355,0.0281,0.024300000000000002,0.0538,0.054299999999999904,0.0348,0.06470000000000001,0.0635,0.1344,0.4578999999999999,0.5419999999999999,0.5964,0.4034999999999998,0.6808999999999998,0.319,0.5669,0.4329999999999999
64,Indonesia,0.0506999999999999,0.033699999999999994,0.1011,0.0836999999999999,0.0303,0.0435,0.0677,0.1227,0.0322999999999999,0.022599999999999898,0.0651999999999999,0.057499999999999996,0.038400000000000004,0.0499,0.07579999999999999,0.1249,0.4665999999999996,0.5333999999999998,0.5531999999999999,0.44679999999999953,0.6985999999999998,0.3013999999999997,0.5384999999999999,0.4614999999999997
65,Iraq,0.0593999999999999,0.0358,0.06420000000000001,0.0411,0.0523,0.0615,0.0722,0.09409999999999999,0.0427,0.0324,0.045399999999999996,0.041999999999999996,0.0712,0.1053,0.0716,0.1088,0.5194,0.48059999999999997,0.637,0.3629999999999999,0.5394,0.4605999999999999,0.5209999999999999,0.47899999999999987
66,Ireland,0.0312,0.0185999999999999,0.0796,0.051199999999999996,0.0251,0.047999999999999904,0.0746,0.1563,0.0274,0.0188,0.0691,0.0526999999999999,0.0346,0.061,0.0803,0.1715999999999999,0.5154999999999998,0.48459999999999986,0.6514999999999999,0.3485999999999998,0.7353999999999998,0.26469999999999977,0.5781999999999997,0.42190000000000005
67,Israel,0.0385,0.0218,0.0719999999999999,0.0471,0.0334,0.053599999999999995,0.0717,0.1376,0.037599999999999995,0.025,0.0632,0.050100000000000006,0.0455,0.0742,0.07780000000000001,0.1507,0.5241,0.4756999999999998,0.6445,0.3552999999999999,0.6701999999999999,0.32959999999999995,0.5601,0.43969999999999987
